ï»¿eventID,type,basisOfRecord,occurrenceID,recordedBy,individualCount,summaryIndividualCount,sex,lifestage,occurrenceStatus,samplingProtocol,identifiedBy,scientificName,kingdom,phylum,class,taxonRank,scientificNameAuthorship,vernacularName
INBO:NBN:BFN00179000038AJ,Event,HumanObservation,INBO:NBN:BFN001790000A86Y,BFN00179000004PN | BFN001790000055P,1,"""Adult Vrouw"":1","{""female"":1}","{""adult"":1}",present,casual observation,BFN001790000055P,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002XFF,Event,HumanObservation,INBO:NBN:BFN0017900009PKA,BFN00179000002AF,2,"""Adult Vrouw"":2","{""female"":2}","{""adult"":2}",present,culling - shooting,BFN00179000002AF,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002O5B,Event,HumanObservation,INBO:NBN:BFN0017900009853,BFN00179000004PP,1,"""Adult Man"":1","{""male"":1}","{""adult"":1}",present,culling - shooting,BFN001790000004L,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002O51,Event,HumanObservation,INBO:NBN:BFN001790000984U,BFN00179000002AG,6,"""Pulli"":6",NULL,"{""pulli"":6}",present,casual observation,BFN001790000004L,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900003CGA,Event,HumanObservation,INBO:NBN:BFN001790000B5F4,BFN0017900000543 | BFN00179000002AF,1,"""Adult Vrouw"":1","{""female"":1}","{""adult"":1}",present,culling - shooting,BFN00179000002AF,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002XE8,Event,HumanObservation,INBO:NBN:BFN0017900009PEL,BFN00179000002AF,2,"""Adult Man"":1, ""Adult Vrouw"":1","{""male"":1, ""female"":1}","{""adult"":1, ""adult"":1}",present,casual observation,BFN00179000002AF,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN001790000378I,Event,HumanObservation,INBO:NBN:BFN001790000A50Q,BFN001790000015Y | BFN001790000055P,1,"""Adult Man"":1","{""male"":1}","{""adult"":1}",present,casual observation,BFN00179000002AF,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002OH3,Event,HumanObservation,INBO:NBN:BFN001790000993L,BFN001790000005G,1,"""Adult Man"":1","{""male"":1}","{""adult"":1}",present,culling - shooting,BFN001790000005G,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002OH3,Event,HumanObservation,INBO:NBN:BFN001790000993M,BFN001790000005G,1,"""Adult Man"":1","{""male"":1}","{""adult"":1}",present,culling - shooting,BFN001790000005G,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002QUA,Event,HumanObservation,INBO:NBN:BFN0017900009C8J,BFN001790000053X,1,"""Adult Man"":1","{""male"":1}","{""adult"":1}",present,casual observation,BFN001790000053X,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
